Model,Scenario,Region,Variable,Unit,1990,1995,2000,2005,2010,2015,2017,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Emissions|CO2,Mt CO2/yr,,,,,694.4038519999999,904.4447969999999,,1129.489858,,,,,1041.1740149999998,,,,,945.2105779999999,889.32504,800.5604770000001,814.422617,763.188124,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,474.284028,562.022797,,533.0028580000001,,,,,551.822045,,,,,573.394808,604.70911,659.2527970000001,691.742127,666.5864740000001,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Final Energy|Industry|Electricity,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Primary Energy|Oil,EJ/yr,,,,,4.617604428372433,5.534836445059632,,4.037941939907952,,,,,4.560724049468544,,,,,4.396309847077392,4.546842628542624,4.441852549809071,4.321519374493584,3.613158256,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Final Energy|Transportation,EJ/yr,,,,,2.8994230618123673,3.5796677228635674,,3.3781725413981274,,,,,3.9848692015291673,,,,,4.204205669348351,4.39531772,4.329761459,4.119758218498752,3.4923019308893277,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Final Energy|Gases,EJ/yr,,,,,0.9716138414838719,0.7827010050304801,,1.088984747698128,,,,,1.3616571506400001,,,,,1.4624976229343998,1.620509229997776,1.748829821381136,1.8901098656429758,2.132368096442256,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Final Energy|Residential and Commercial|Electricity,EJ/yr,,,,,0.700549458,0.8988477686827199,,0.9448061552513278,,,,,1.304132994696816,,,,,1.4296027711947839,1.5508915921990079,1.681234465848768,1.8393684303530882,2.008564053797952,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Final Energy|Industry,EJ/yr,,,,,1.1474402676507358,1.1552655999684958,,1.207226725914816,,,,,1.5557075976170878,,,,,1.918372107869568,2.021408523550656,2.159328239619408,2.284885531040256,1.691748934,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Primary Energy|Coal,EJ/yr,,,,,0.35210299650393606,0.481611844,,0.496409513,,,,,0.564024828,,,,,0.57309648,0.6498524032750082,1.1955739626236161,1.566458198572608,1.7598286410888961,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Primary Energy|Fossil|w/ CCS,EJ/yr,,,,,0.048711577,0.043128761,,0.025569704159999998,,,,,0.030096225,,,,,0.15829172293435198,0.218710054,0.7280008753075199,1.363090981,2.029733051038416,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Final Energy|Geothermal,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Primary Energy|Secondary Energy Trade,EJ/yr,,,,,0.629278054,1.191950866670832,,0.15955011497995203,,,,,-0.061335243,,,,,0.6851286523141921,0.578499185,0.9233468290170721,0.11238229474430403,0.025427798151840007,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,Final Energy|Solar,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-CP-D0-N,Brazil,GDP|PPP,billion USD_2010/yr,,,,,2849.54,3016.14,,2935.82,,,,,3409.83,,,,,3706.49,4214.96,4880.88,5692.08,6623.24,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Hydro,EJ/yr,,,,,1.451842621,1.307177118,,1.439847689,,,,,1.623727001,,,,,1.631563602734736,1.6514190260475843,1.661400698,1.6664458811037124,1.6609109564000162,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Commercial,EJ/yr,,,,,0.434058044,0.5285964014390878,,0.503873012,,,,,0.767328024,,,,,0.839707282,0.9432255538703519,1.059454831,1.183860189,1.3193281293494399,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Biomass,EJ/yr,,,,,3.3833794669776003,3.543675528,,3.7790844358536004,,,,,4.458541426837056,,,,,4.816561697698896,4.867737646372128,4.644885426035328,4.842847838630593,6.338699758135009,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,,,,,39.075012533125005,84.01057550596875,,61.655063332500006,,,,,46.152702348999995,,,,,43.21966889,35.75089926596942,36.949719257527654,32.37336796256058,8.162979227,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Residential,EJ/yr,,,,,0.652113345,0.766288528,,0.8293010974169759,,,,,0.940548723,,,,,0.8896864024666079,0.9072570183598079,0.92281031,0.967401415,0.9994223861899199,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Solar,EJ/yr,,,,,8.42957E-05,0.000413715,,0.058643990914607994,,,,,0.183241688,,,,,0.268581949,0.31916498617151995,0.352738073,0.39287324642112004,0.39786778943424006,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Emissions|Kyoto Gases,Mt CO2-equiv/yr,,,,,1341.069599,1571.1257349999998,,1808.426291,,,,,1577.176833,,,,,1341.829253,1009.688858,933.306444,809.2916740000001,6.572075000000041,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy,EJ/yr,,,,,6.755098078179503,8.197712221136399,,8.017144069666607,,,,,9.402325707738814,,,,,10.364355985944961,10.71994589980416,11.12953120997112,11.57650077231504,11.622441744799055,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Population,million,,,,,194.9,203.2,,212.564938,,,,,217.561951,,,,,222.22066800000002,225.602922,227.643791,228.382237,227.81337100000002,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Transportation|Electricity,EJ/yr,,,,,0.005428346,0.008632819,,0.012487480687440001,,,,,0.015397093246463999,,,,,0.025066725836831998,0.10831203540403198,0.186795617,0.24928010612769602,0.39175772907499196,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Nuclear,EJ/yr,,,,,0.1495401078857143,0.15172780525714288,,0.14471690194285716,,,,,0.15778812342857146,,,,,0.15778812342857146,0.15778812342857146,0.15778812342857146,0.15778812342857146,0.15778812342857146,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Residential and Commercial,EJ/yr,,,,,1.086171388750656,1.2948849293941438,,1.333174109550912,,,,,1.7078767479372958,,,,,1.7293936841678879,1.8504825722301597,1.982265141259296,2.151261603952704,2.3187505155393597,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Heat,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Fossil|w/o CCS,EJ/yr,,,,,5.753587524932737,7.293783766932864,,6.399201745,,,,,7.382830577597712,,,,,7.828988736542545,7.499038623014306,7.281351898877665,6.791711018674177,5.227072851056976,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy,EJ/yr,,,,,10.795250660349684,12.423030317813192,,12.058728422467146,,,,,14.178658611593068,,,,,15.06793050809235,15.093589464745758,15.492281965329582,15.95998027522683,16.407816204465057,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Fossil,EJ/yr,,,,,5.8022991015583685,7.336912527875232,,6.424771449440881,,,,,7.4512956217427995,,,,,7.888953857284225,7.615689556987441,7.906141966063969,7.942217156421121,6.333330138741504,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Wind,EJ/yr,,,,,0.008105067,0.083123623,,0.211663956,,,,,0.304064751,,,,,0.304481278,0.48179012573851204,0.7693276789545119,0.9578080292217122,1.519219438325712,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Carbon Capture,Mt CO2/yr,,,,,0.000841,0.07319,,0.222303,,,,,0.413239,,,,,0.461614,1.978202,9.243730999999999,25.781568,116.767618,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Gas,EJ/yr,,,,,0.8325916766820001,1.320464238883632,,1.8904199967849598,,,,,2.182748517191088,,,,,2.491257373698528,2.351000412464688,2.4604865788443844,2.3897189253968643,1.906185230857008,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Non-Biomass Renewables,EJ/yr,,,,,1.460031984,1.3907144567072158,,1.710155635229808,,,,,2.11103344,,,,,2.204626829680656,2.4523741379576163,2.783466449801712,3.0171271567465445,3.577998184159968,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Hydrogen,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Electricity,EJ/yr,,,,,1.626169829,2.524144833,,2.602188751,,,,,2.8352831467967996,,,,,2.880493242,3.029358772,3.2912836657344005,3.584792059,4.0338145726559995,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Emissions|CO2,Mt CO2/yr,,,,,694.4038519999999,904.4447969999999,,1129.489858,,,,,905.2814129999999,,,,,691.545955,400.471011,343.117572,238.922028,-489.069596,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,474.284028,562.022797,,533.0028580000001,,,,,547.7491229999999,,,,,565.514684,560.964322,573.522122,559.249538,323.062399,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Industry|Electricity,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Oil,EJ/yr,,,,,4.617604428372433,5.534836445059632,,4.037941939907952,,,,,4.758214090816224,,,,,4.858689302814817,4.654834818581377,4.7379344794479366,4.815899998782337,3.918204088743744,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Transportation,EJ/yr,,,,,2.8994230618123673,3.5796677228635674,,3.3781725413981274,,,,,3.9617235015707517,,,,,4.136754970173312,3.982161052921824,3.8602361917313277,3.7578408243109913,3.290654415059712,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Gases,EJ/yr,,,,,0.9716138414838719,0.7827010050304801,,1.088984747698128,,,,,1.3384540575898558,,,,,1.4324750831937598,1.5896096535041278,1.686945076000128,1.843014924598752,2.149818051562848,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Residential and Commercial|Electricity,EJ/yr,,,,,0.700549458,0.8988477686827199,,0.9448061552513278,,,,,1.304132994696816,,,,,1.374438696391152,1.4903440004651038,1.618258325638752,1.7710588964050564,1.936260847230912,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Industry,EJ/yr,,,,,1.1474402676507358,1.1552655999684958,,1.207226725914816,,,,,1.1852707594942078,,,,,1.279686563,1.4464112948922239,1.5621421565730238,1.664828359991424,1.5406688982700798,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Coal,EJ/yr,,,,,0.35210299650393606,0.481611844,,0.496409513,,,,,0.510333014,,,,,0.539007181,0.6098543259413761,0.707720908,0.736598232,0.5089408191407521,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Fossil|w/ CCS,EJ/yr,,,,,0.048711577,0.043128761,,0.025569704159999998,,,,,0.068465044,,,,,0.059965120741680006,0.11665093397313601,0.6247900671863041,1.150506137746944,1.106257287684528,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Geothermal,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Primary Energy|Secondary Energy Trade,EJ/yr,,,,,0.629278054,1.191950866670832,,0.15955011497995203,,,,,0.083515213,,,,,-0.214800762,-0.182245292,-0.297932489,-1.010466415,-1.04733214,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,Final Energy|Solar,EJ/yr,,,,,0,0,,0,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,
BLUES 2.0,ELV-SSP2-LTS-N,Brazil,GDP|PPP,billion USD_2010/yr,,,,,2849.54,3016.14,,2935.82,,,,,3409.83,,,,,3706.49,4214.96,4880.88,5692.08,6623.24,,,,,,,,,,
BLUES 2.0,ELV-SSP2-NDC-D0-N,Brazil,Primary Energy|Hydro,EJ/yr,,,,,1.451842621,1.307177118,,1.439847689,,,,,1.623457505251296,,,,,1.6315090183653123,1.6520857142116323,1.6625305415435039,1.6671361756667042,1.6593206980020483,,,,,,,,,,
BLUES 2.0,ELV-SSP2-NDC-D0-N,Brazil,Final Energy|Commercial,EJ/yr,,,,,0.434058044,0.5285964014390878,,0.503873012,,,,,0.767328024,,,,,0.8397072776015999,0.9432255538703519,1.059454831,1.1838601892822402,1.319328133,,,,,,,,,,
BLUES 2.0,ELV-SSP2-NDC-D0-N,Brazil,Primary Energy|Biomass,EJ/yr,,,,,3.3833794669776003,3.543675528,,3.7790844358536004,,,,,4.445820753670657,,,,,4.863139984707408,4.968233186255568,4.969301980841713,4.900544476846847,4.959647383,,,,,,,,,,
